id;first_name;last_name;address;phone
1;Shannon;Auer;aid busily;794-549-5913 x57998
2;Linnie;Wolf;recliner by;1-438-521-1528 x190
3;Tom;Gottlieb;fully;1-204-973-2820
4;Lucie;Rau;besides midst;804-676-3672 x470
5;Sadie;Lang;between steep usually;479.989.4827 x67475
6;Elena;Von;novel;759.697.0647 x66938
7;Hertha;Predovic;lest vanadyl boudoir;1-469-401-1990 x88102
8;Melody;Hickle;laze clove leprosy;263-959-3697
9;Jon;Russel;blackberry hesitate ah;710-907-3919 x117
10;Jazmin;Daniel;hubcap full blue;674-571-7544 x5005
